id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name
132,IP MAN 3,"Ip Man 3 is a 2015 Hong Kong biographical martial arts film directed by Wilson Yip, produced by Raymond Wong and written by Edmond Wong with action choreography by Yuen Woo-ping.",Action,7.0,196201,1,Movie,2,हिन्दी
133,Tholi Prema,"Aditya, an outgoing young man, falls in love with Varsha, an introvert","Action, Drama, Love Story",7.0,251018,1,Movie,2,हिन्दी
134,Bhool Bhulaiyaa,Bhool Bhulaiyaa (transl. Labyrinth) is a 2007 Indian Hindi-language psychological horror film[1][2] directed by Priyadarshan,"Comedy, Horror",7.0,324776,1,Movie,2,हिन्दी
135,Tevar,Tevar (transl. Attitude) is a 2015 Indian Hindi-language action film directed by debutante Amit Ravindernath Sharma,"Action, Comedy, Love Story",4.0,457239,1,Movie,2,हिन्दी
138,TVF's Aspirants,UPSC - One of the toughest exams in the world. Nothing comes easy when you are preparing for it as an Aspirant.,"Comedy, Drama",9.0,225569,0,Series/TV Show,2,हिन्दी
144,The Acci  dental Prime Minister,"The Accidental Prime Minister is a 2019 Indian Hindi-language film directed by Vijay Ratnakar Gutte and written by Mayank Tewari, based on the 2014 memoir of the same name by Sanjaya Baru","Drama, Mystery, Thriller",6.0,356697,1,Movie,2,हिन्दी
156,Bhagam Bhag,Bhagam Bhag (transl. Running Around) is a 2006 Indian Hindi-language comedy thriller film written and directed by Priyadarshan from the screenplay by Neeraj Vora.,"Comedy, Thriller",7.0,263674,1,Movie,2,हिन्दी
157,Vijay the Master,Master is a 2021 Indian Tamil-language action film[3] written and directed by Lokesh Kanagaraj.,Action,7.0,322557,1,Movie,2,हिन्दी
158,Khatta Meetha,Khatta Meetha (transl. Sour and Sweet) is a 2010 Indian Hindi-language political satire comedy film written and directed by Priyadarshan,Comedy,6.0,478663,1,Movie,2,हिन्दी
159,Maari 2,Maari 2 is a 2018 Indian Tamil-language action comedy film written and directed by Balaji Mohan. It is a sequel to his 2015 film Maari.,"Action, Comedy",6.0,500394,1,Movie,2,हिन्दी
163,THE NUN,"The Nun (stylized as THE NUИ) is a 2018 American gothic supernatural horror film directed by Corin Hardy and written by Gary Dauberman, from a story by Dauberman and James Wan.",Horror,5.0,457393,1,Movie,2,हिन्दी
165,Yeh Jawaani Hai Deewani,"Yeh Jawaani Hai Deewani (transl. This youth is crazy), also abbreviated as YJHD, is a 2013 Indian Hindi-language coming-of-age romantic comedy-drama film directed by Ayan Mukerji","Comedy, Drama, Love Story",7.0,136522,1,Movie,2,हिन्दी
167,Baaghi 2,Baaghi 2 (transl. Rebel 2) is a 2018 Indian Hindi-language romantic martial-arts action thriller film directed by Ahmed Khan.,"Action, Love Story, Thriller",5.0,467161,1,Movie,2,हिन्दी
175,THE LOST CITY OF Z,"The Lost City of Z is a 2016 American biographical adventure drama film written and directed by James Gray, based on the 2009 book of the same name by David Grann","Drama, Adventure",7.0,366264,1,Movie,2,हिन्दी
