id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name,enhanced_text
217,વેન્ટિલેટર,Ventilator... A ventilator is a piece of medical technology,"Comedy, Drama",7.0,425751,1,Movie,3,ગુજરાતી,"વ ન ટ લ ટર વ ન ટ લ ટર Ventilator... A ventilator is a piece of medical technology Ventilator... A ventilator is a piece of medical technology Comedy Drama film with comedy, drama elements good quality rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
218,તંબુરો,Tamburo...Directed by Shailesh Shankar,Comedy,7.0,256478,1,Movie,3,ગુજરાતી,ત બ ર  ત બ ર  Tamburo...Directed by Shailesh Shankar Tamburo...Directed by Shailesh Shankar Comedy film with comedy elements good quality rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content
229,પાસપોર્ટ,"Passport... Anna, an American student loses in her passport in Ahmedabad and Kabir helps her find it.","Comedy, Drama, Love Story",6.0,362636,1,Movie,3,ગુજરાતી,"પ સપ ર ટ પ સપ ર ટ Passport... Anna, an American student loses in her passport in Ahmedabad and Kabir helps her find it. Passport... Anna, an American student loses in her passport in Ahmedabad and Kabir helps her find it. Comedy Drama Love Story film with comedy, drama, love story elements average rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
240,દુનિયાદારી,Duniyadari... Directed by Shital Shah,"Comedy, Love Story",8.0,325712,1,Movie,3,ગુજરાતી,"દ ન ય દ ર  દ ન ય દ ર  Duniyadari... Directed by Shital Shah Duniyadari... Directed by Shital Shah Comedy Love Story film with comedy, love story elements excellent highly rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
250,તારી સાથે,Tari Sathe... The story revolves between two youngsters who are at the age of getting married.,"Comedy, Love Story, Fantasy",9.0,236325,1,Movie,3,ગુજરાતી,"ત ર  સ થ  ત ર  સ થ  Tari Sathe... The story revolves between two youngsters who are at the age of getting married. Tari Sathe... The story revolves between two youngsters who are at the age of getting married. elements of coming_of_age Comedy Love Story Fantasy film with comedy, love story, fantasy elements exceptional highly acclaimed masterpiece niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
263,સાહેબ,SAHEB... The film is directed by Shailesh Prajapati,"Comedy, Drama, Love Story, Fantasy",6.0,325694,1,Movie,3,ગુજરાતી,"સ હ બ સ હ બ SAHEB... The film is directed by Shailesh Prajapati SAHEB... The film is directed by Shailesh Prajapati Comedy Drama Love Story Fantasy film with comedy, drama, love story, fantasy elements average rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
272,મિજાજ,Mijaaj... Film directed by Tapan Vyas,"Action, Drama",7.0,236279,1,Movie,3,ગુજરાતી,"મ જ જ મ જ જ Mijaaj... Film directed by Tapan Vyas Mijaaj... Film directed by Tapan Vyas Action Drama film with action, drama elements good quality rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
284,લવ ની ભવાઈ,Love Ni Bhavai... Film directed by Saandeep Patel,"Drama, Love Story, Fantasy",8.0,261648,1,Movie,3,ગુજરાતી,"લવ ન  ભવ ઈ લવ ન  ભવ ઈ Love Ni Bhavai... Film directed by Saandeep Patel Love Ni Bhavai... Film directed by Saandeep Patel elements of romance Drama Love Story Fantasy film with drama, love story, fantasy elements excellent highly rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
292,આવુજ રહેશે,Aavuj Reshe... Three happy-go-lucky friends,"Comedy, Drama",6.0,214572,1,Movie,3,ગુજરાતી,"આવ જ રહ શ  આવ જ રહ શ  Aavuj Reshe... Three happy-go-lucky friends Aavuj Reshe... Three happy-go-lucky friends elements of friendship Comedy Drama film with comedy, drama elements average rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
310,શોર્ટ સર્કિટ,Short Circuit... Directed by Faisal Hashmi,"Comedy, Sci-fi",8.0,325255,1,Movie,3,ગુજરાતી,"શ ર ટ સર ક ટ શ ર ટ સર ક ટ Short Circuit... Directed by Faisal Hashmi Short Circuit... Directed by Faisal Hashmi Comedy Sci-fi film with comedy, sci-fi elements excellent highly rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
318,ધુમ્મસ,Dhummas... A young woman marries a man for his polite and chivalrous nature,"Love Story, Thriller, Fantasy",7.0,214580,1,Movie,3,ગુજરાતી,"ધ મ મસ ધ મ મસ Dhummas... A young woman marries a man for his polite and chivalrous nature Dhummas... A young woman marries a man for his polite and chivalrous nature elements of coming_of_age Love Story Thriller Fantasy film with love story, thriller, fantasy elements good quality rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
339,બસ એક ચાન્સ,Bas Ek Chance... Film directed by Kirtan Patel,"Comedy, Drama",7.0,362547,1,Movie,3,ગુજરાતી,"બસ એક ચ ન સ બસ એક ચ ન સ Bas Ek Chance... Film directed by Kirtan Patel Bas Ek Chance... Film directed by Kirtan Patel Comedy Drama film with comedy, drama elements good quality rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
346,કેવી રીતે જઈશ,Kevi Rite Jaish... Film directed by Abhishek Jain,Drama,8.0,325168,1,Movie,3,ગુજરાતી,ક વ  ર ત  જઈશ ક વ  ર ત  જઈશ Kevi Rite Jaish... Film directed by Abhishek Jain Kevi Rite Jaish... Film directed by Abhishek Jain Drama film with drama elements excellent highly rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content
354,લવ ની લવ સ્ટોરીસ,Luv Ni Love Storys... Film written and directed by Durgesh Tanna,"Comedy, Drama",7.0,321506,1,Movie,3,ગુજરાતી,"લવ ન  લવ સ ટ ર સ લવ ન  લવ સ ટ ર સ Luv Ni Love Storys... Film written and directed by Durgesh Tanna Luv Ni Love Storys... Film written and directed by Durgesh Tanna elements of romance Comedy Drama film with comedy, drama elements good quality rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
1164,ગુજ્જુભાઇ મોસ્ટ વોન્ટેડ,"Gujjubhai Most Wanted... Arvind Divetia (Randeria) and his son Khagesh aka KD (Trivedi) have an uncanny knack of getting into trouble, mostly because of their own wrongdoings. They live a happy life, until one day when they go on a road trip to a small town called Pindasar, which goes rogue and they unwittingly find themselves being perceived as secret agents and land in Pakistan. What follows is a series of comic events and how they get out of the situation, forms the crux.","Comedy, Drama",7.5,2922054,1,Movie,3,ગુજરાતી,"ગ જ જ ભ ઇ મ સ ટ વ ન ટ ડ ગ જ જ ભ ઇ મ સ ટ વ ન ટ ડ Gujjubhai Most Wanted... Arvind Divetia  Randeria  and his son Khagesh aka KD  Trivedi  have an uncanny knack of getting into trouble, mostly because of their own wrongdoings. They live a happy life, until one day when they go on a road trip to a small town called Pindasar, which goes rogue and they unwittingly find themselves being perceived as secret agents and land in Pakistan. What follows is a series of comic events and how they get out of the situation, forms the crux. Gujjubhai Most Wanted... Arvind Divetia  Randeria  and his son Khagesh aka KD  Trivedi  have an uncanny knack of getting into trouble, mostly because of their own wrongdoings. They live a happy life, until one day when they go on a road trip to a small town called Pindasar, which goes rogue and they unwittingly find themselves being perceived as secret agents and land in Pakistan. What follows is a series of comic events and how they get out of the situation, forms the crux. elements of comedy elements of drama elements of family Comedy Drama film with comedy, drama elements very good well received content moderately popular content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
1165,શરતો લાગુ,Sharato Lagu... Malhar Thakar | Deeksha Joshi,"Comedy, Drama",7.4,2839354,1,Movie,3,ગુજરાતી,"શરત  લ ગ  શરત  લ ગ  Sharato Lagu... Malhar Thakar   Deeksha Joshi Sharato Lagu... Malhar Thakar   Deeksha Joshi Comedy Drama film with comedy, drama elements good quality rated content moderately popular content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
1166,ગોળ કેરી,Gol keri... Gol keri is a full of Comedy With Drama Movie,"Comedy, Drama",7.9,128800,1,Movie,3,ગુજરાતી,"ગ ળ ક ર  ગ ળ ક ર  Gol keri... Gol keri is a full of Comedy With Drama Movie Gol keri... Gol keri is a full of Comedy With Drama Movie elements of comedy elements of drama Comedy Drama film with comedy, drama elements very good well received content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
1320,છેલ્લો દિવસ,Chhello Divas... Chhello Divas | Full Comedy Movie | Malhar Thakar | Yash Soni | Janki Bodiwala,"Comedy, Love Story",8.3,10201776,1,Movie,3,ગુજરાતી,"છ લ લ  દ વસ છ લ લ  દ વસ Chhello Divas... Chhello Divas   Full Comedy Movie   Malhar Thakar   Yash Soni   Janki Bodiwala Chhello Divas... Chhello Divas   Full Comedy Movie   Malhar Thakar   Yash Soni   Janki Bodiwala elements of comedy elements of family Comedy Love Story film with comedy, love story elements excellent highly rated content popular well known content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content regional blockbuster crossover potential"
1635,બુશર્ટ ટી-શર્ટ,Bushirt T-shirt... Siddharth Randeria | Kamlesh Ozza | Vandana Pathak,"Comedy, Drama",9.1,1182667,1,Movie,3,ગુજરાતી,"બ શર ટ ટ -શર ટ બ શર ટ ટ -શર ટ Bushirt T-shirt... Siddharth Randeria   Kamlesh Ozza   Vandana Pathak Bushirt T-shirt... Siddharth Randeria   Kamlesh Ozza   Vandana Pathak Comedy Drama film with comedy, drama elements exceptional highly acclaimed masterpiece moderately popular content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
1794,ચલ મન જીતવા જૈયે ૨,"Chal Man Jeetva Jaiye 2... Harsh Khurana, Rajeev Mehta, Hemen Chauhan and Sheetal Pandya",Drama,7.9,501249,1,Movie,3,ગુજરાતી,"ચલ મન જ તવ  જ ય  ૨ ચલ મન જ તવ  જ ય  ૨ Chal Man Jeetva Jaiye 2... Harsh Khurana, Rajeev Mehta, Hemen Chauhan and Sheetal Pandya Chal Man Jeetva Jaiye 2... Harsh Khurana, Rajeev Mehta, Hemen Chauhan and Sheetal Pandya Drama film with drama elements very good well received content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
1900,નાયિકા દેવી : ધ વોરિયર ક્વીન,Nayika Devi: The Warrior Queen is a 2022 Gujarati historical drama film.,"Drama, History, Biography",7.3,213,1,Movie,3,ગુજરાતી,"ન ય ક  દ વ  : ધ વ ર યર ક વ ન ન ય ક  દ વ  : ધ વ ર યર ક વ ન Nayika Devi: The Warrior Queen is a 2022 Gujarati historical drama film. Nayika Devi: The Warrior Queen is a 2022 Gujarati historical drama film. intense action packed sequences elements of drama Drama History Biography film with drama, history, biography elements good quality rated content niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
1901,હેલ્લો,"Hello... Jayesh More, Darshan Pandya","Drama, Thriller",8.6,22483,1,Movie,3,ગુજરાતી,"હ લ લ  હ લ લ  Hello... Jayesh More, Darshan Pandya Hello... Jayesh More, Darshan Pandya Drama Thriller film with drama, thriller elements exceptional highly acclaimed masterpiece niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
1999,ચાર ફેરા નું ચક્ડોળ,Char Fera Nu Chakdol... Sanjay Goradia | Smit Pandya |,"Comedy, Drama",9.5,658166,1,Movie,3,ગુજરાતી,"ચ ર ફ ર  ન   ચક ડ ળ ચ ર ફ ર  ન   ચક ડ ળ Char Fera Nu Chakdol... Sanjay Goradia   Smit Pandya   Char Fera Nu Chakdol... Sanjay Goradia   Smit Pandya   Comedy Drama film with comedy, drama elements exceptional highly acclaimed masterpiece niche independent content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
2052,ચલ મન જીતવા જૈયે,"Chal Man Jeetva Jaiye... Rajiv Mehta, Dharmendra Gohil, Harsh Khurana","Drama, Political, Family",8.6,5634727,1,Movie,3,ગુજરાતી,"ચલ મન જ તવ  જ ય  ચલ મન જ તવ  જ ય  Chal Man Jeetva Jaiye... Rajiv Mehta, Dharmendra Gohil, Harsh Khurana Chal Man Jeetva Jaiye... Rajiv Mehta, Dharmendra Gohil, Harsh Khurana Drama Political Family film with drama, political, family elements exceptional highly acclaimed masterpiece moderately popular content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
2192,ખેડૂત એક રક્ષક,Khedut Ek Rakshak || Vikram Thakor,"Action, Drama",8.7,5870209,1,Movie,3,ગુજરાતી,"ખ ડ ત એક રક ષક ખ ડ ત એક રક ષક Khedut Ek Rakshak    Vikram Thakor Khedut Ek Rakshak    Vikram Thakor Action Drama film with action, drama elements exceptional highly acclaimed masterpiece moderately popular content feature length movie film cinema movie entertainment content ગુજરાતી language content language 3 entertainment gujarati regional indian content"
