id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name,enhanced_text
16207,Married a Gardener Got a Prince,"American heiress Anna is devastated when her fiancé 's betrayal is exposed. Thanks to Philip, a charming ""gardener"" who is secretely the Prince of Lavinia. To secure her family's business, she agrees to marry him, unaware of his true identity.","Action, Thriller, Romance",7.7,1565198,2,Short Drama,1,English,"Married a Gardener Got a Prince Married a Gardener Got a Prince American heiress Anna is devastated when her fiancé  s betrayal is exposed. Thanks to Philip, a charming  gardener  who is secretely the Prince of Lavinia. To secure her family s business, she agrees to marry him, unaware of his true identity. American heiress Anna is devastated when her fiancé  s betrayal is exposed. Thanks to Philip, a charming  gardener  who is secretely the Prince of Lavinia. To secure her family s business, she agrees to marry him, unaware of his true identity. elements of romance elements of action elements of drama Action Thriller Romance film with action, thriller, romance elements very good well received content moderately popular content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16211,Happy Ever After With My Groom's Brother,"Happy Ever After with My Grooms Brother: With Richmond Keeling, Lana Kinnear, Carolina Rezende, Alena Savostikova.","Action, Drama, Love Story",7.9,12211391,2,Short Drama,1,English,"Happy Ever After With My Groom s Brother Happy Ever After With My Groom s Brother Happy Ever After with My Grooms Brother: With Richmond Keeling, Lana Kinnear, Carolina Rezende, Alena Savostikova. Happy Ever After with My Grooms Brother: With Richmond Keeling, Lana Kinnear, Carolina Rezende, Alena Savostikova. Action Drama Love Story film with action, drama, love story elements very good well received content popular well known content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16212,Mafia's Good Girl,"Kidnapped by the mafia king, innocent Bella enters a brand new world and discovers a new self. Could this be love, or is it just Stockholm syndrome?","Drama, Thriller, Romance",6.6,8452515,2,Short Drama,1,English,"Mafia s Good Girl Mafia s Good Girl Kidnapped by the mafia king, innocent Bella enters a brand new world and discovers a new self. Could this be love, or is it just Stockholm syndrome? Kidnapped by the mafia king, innocent Bella enters a brand new world and discovers a new self. Could this be love, or is it just Stockholm syndrome? elements of romance elements of family Drama Thriller Romance film with drama, thriller, romance elements decent watchable content moderately popular content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16216,Sold to the Mafia,These stories often revolve around a female protagonist who is essentially traded or forced into a relationship with a powerful and often dangerous mafia figure.,"Drama, Romance",7.5,234626,2,Short Drama,1,English,"Sold to the Mafia Sold to the Mafia These stories often revolve around a female protagonist who is essentially traded or forced into a relationship with a powerful and often dangerous mafia figure. These stories often revolve around a female protagonist who is essentially traded or forced into a relationship with a powerful and often dangerous mafia figure. elements of romance Drama Romance film with drama, romance elements very good well received content niche independent content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16228,Secret Heiress Spoiled By Two Rockstars,"The story of Amelia, a hidden heiress tired of her privileged life and seeking anonymity. During a chance encounter at a music festival, she meets Jake and Alex, charismatic rockstars unaware of her true identity. As romance blossoms, secrets unravel, revealing Amelia's background and testing their newfound love against the backdrop of fame, fortune, and personal identity.","Drama, Romance",6.0,1246006,2,Short Drama,1,English,"Secret Heiress Spoiled By Two Rockstars Secret Heiress Spoiled By Two Rockstars The story of Amelia, a hidden heiress tired of her privileged life and seeking anonymity. During a chance encounter at a music festival, she meets Jake and Alex, charismatic rockstars unaware of her true identity. As romance blossoms, secrets unravel, revealing Amelia s background and testing their newfound love against the backdrop of fame, fortune, and personal identity. The story of Amelia, a hidden heiress tired of her privileged life and seeking anonymity. During a chance encounter at a music festival, she meets Jake and Alex, charismatic rockstars unaware of her true identity. As romance blossoms, secrets unravel, revealing Amelia s background and testing their newfound love against the backdrop of fame, fortune, and personal identity. romantic emotional storyline elements of action elements of drama Drama Romance film with drama, romance elements average rated content moderately popular content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16252,The Cleaner With a Billion Dollar Secret,"A wealthy heiress disguises herself as a humble cleaner to be close to her boyfriend without revealing her privileged background. As she balances her double life—sweeping floors by day and secretly orchestrating support from behind the scenes—an explosive truth about “the cleaner” surfaces: she's actually the heiress to a billion-dollar fortune. This revelation upends relationships and power dynamics, putting love and trust to the test.","Action, Drama, Love Story, Romance",8.1,3242485,2,Short Drama,1,English,"The Cleaner With a Billion Dollar Secret The Cleaner With a Billion Dollar Secret A wealthy heiress disguises herself as a humble cleaner to be close to her boyfriend without revealing her privileged background. As she balances her double life sweeping floors by day and secretly orchestrating support from behind the scenes an explosive truth about  the cleaner  surfaces: she s actually the heiress to a billion-dollar fortune. This revelation upends relationships and power dynamics, putting love and trust to the test. A wealthy heiress disguises herself as a humble cleaner to be close to her boyfriend without revealing her privileged background. As she balances her double life sweeping floors by day and secretly orchestrating support from behind the scenes an explosive truth about  the cleaner  surfaces: she s actually the heiress to a billion-dollar fortune. This revelation upends relationships and power dynamics, putting love and trust to the test. romantic emotional storyline elements of drama elements of friendship Action Drama Love Story Romance film with action, drama, love story, romance elements excellent highly rated content moderately popular content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16281,Behind The Curtain,"This documentary, offers an exclusive behind‑the‑scenes look at the creation of the stage play Stranger Things: The First Shadow. It follows the cast and creative team—from concept through rehearsals and previews in London’s West End to the move to Broadway—as they bring this ambitious live adaptation to life under mounting fan expectations","Drama, Thriller",5.8,2145391,2,Short Drama,1,English,"Behind The Curtain Behind The Curtain This documentary, offers an exclusive behind the scenes look at the creation of the stage play Stranger Things: The First Shadow. It follows the cast and creative team from concept through rehearsals and previews in London s West End to the move to Broadway as they bring this ambitious live adaptation to life under mounting fan expectations This documentary, offers an exclusive behind the scenes look at the creation of the stage play Stranger Things: The First Shadow. It follows the cast and creative team from concept through rehearsals and previews in London s West End to the move to Broadway as they bring this ambitious live adaptation to life under mounting fan expectations elements of drama Drama Thriller film with drama, thriller elements low rated content moderately popular content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16290,All I Want For Christmas Is A Husband,"CEO Daphne Morgan who gets unexpectedly pregnant on Christmas Day and must decide whether to marry the man she spent the night with, Ashton Cunningham, to secure the company.","Action, Drama, Love Story, Romance",8.3,3242355,2,Short Drama,1,English,"All I Want For Christmas Is A Husband All I Want For Christmas Is A Husband CEO Daphne Morgan who gets unexpectedly pregnant on Christmas Day and must decide whether to marry the man she spent the night with, Ashton Cunningham, to secure the company. CEO Daphne Morgan who gets unexpectedly pregnant on Christmas Day and must decide whether to marry the man she spent the night with, Ashton Cunningham, to secure the company. elements of romance Action Drama Love Story Romance film with action, drama, love story, romance elements excellent highly rated content moderately popular content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16291,Baby Bump to Billionaires Wife,"Baby Bump to Billionaire's Wife : With Marie Elizabeth DeWitt, Noah Fearnley, Seth Brubaker, Andrea Lee Davis.","Drama, Family",7.7,2485907,2,Short Drama,1,English,"Baby Bump to Billionaires Wife Baby Bump to Billionaires Wife Baby Bump to Billionaire s Wife : With Marie Elizabeth DeWitt, Noah Fearnley, Seth Brubaker, Andrea Lee Davis. Baby Bump to Billionaire s Wife : With Marie Elizabeth DeWitt, Noah Fearnley, Seth Brubaker, Andrea Lee Davis. elements of horror Drama Family film with drama, family elements very good well received content moderately popular content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
16293,Contractually Yours,"Jack Thorne, a wealthy businessman on the verge of losing his inheritance and securing a major corporate deal, must be married for a full year before his 32nd birthday—and no one, especially his new wife, can know about it. Desperate, he hires Lily Dunning, a struggling chef in need of stable income and support for her family. They enter a marriage of convenience under strict contractual terms. As Lily steps into Jack’s affluent world—attending high-society events, learning self-defense, and cooking in his grand home—romantic sparks begin to fly. But when secrets emerge and rivalries intensify, their faux partnership is threatened. Ultimately, they find that what started as a contract turns into something real—and Jack learns some things are worth more than money","Action, Drama, Love Story, Romance",7.7,54379,2,Short Drama,1,English,"Contractually Yours Contractually Yours Jack Thorne, a wealthy businessman on the verge of losing his inheritance and securing a major corporate deal, must be married for a full year before his 32nd birthday and no one, especially his new wife, can know about it. Desperate, he hires Lily Dunning, a struggling chef in need of stable income and support for her family. They enter a marriage of convenience under strict contractual terms. As Lily steps into Jack s affluent world attending high-society events, learning self-defense, and cooking in his grand home romantic sparks begin to fly. But when secrets emerge and rivalries intensify, their faux partnership is threatened. Ultimately, they find that what started as a contract turns into something real and Jack learns some things are worth more than money Jack Thorne, a wealthy businessman on the verge of losing his inheritance and securing a major corporate deal, must be married for a full year before his 32nd birthday and no one, especially his new wife, can know about it. Desperate, he hires Lily Dunning, a struggling chef in need of stable income and support for her family. They enter a marriage of convenience under strict contractual terms. As Lily steps into Jack s affluent world attending high-society events, learning self-defense, and cooking in his grand home romantic sparks begin to fly. But when secrets emerge and rivalries intensify, their faux partnership is threatened. Ultimately, they find that what started as a contract turns into something real and Jack learns some things are worth more than money elements of romance elements of drama elements of family Action Drama Love Story Romance film with action, drama, love story, romance elements very good well received content niche independent content short drama brief story short_drama entertainment content English language content language 1 entertainment international global English content international crossover appeal"
